call_tx_signer,burn_tx_count,geod_burned,pct_of_total,cumulative_pct
J5rvPjM4Hbxj8AgRcD8gTtkUpJumknT69o5vTcwcKeAt,2,1417210.000,9.364,9.364
9JsiAJDN2uryzo1RFn4T2jvyGkgpBR1PQPWGvVDvXLpB,144,1387885.859,9.171,18.535
31v4kJDxss5Yb4nnvCPP9PMgrtwz2MTK4iqy9wjnRpXJ,155,1197724.500,7.914,26.449
vmpGndfgUQwD45rKEsCQMRmZ6XF3J7BUdi8zk3rg7c8,152,1066647.015,7.048,33.497
GBNQydmXjwW6r1tkJM6xKELVXEFyGqt5EGy54tQVCw7m,3,1050000.000,6.938,40.435
9rx2sFooy7kJXXFBAS1hJJekEhhtDQPyEpEpogdjnit1,107,871008.100,5.755,46.190
e7Mp3VKgbrjDMKXQmqv2jcJs1uyqUr3jp2fX4RpQFJk,99,863676.345,5.707,51.897
DiEife6EVgfpjkSMxLHBxoireLBbvsh7YvCsnBnAx8LD,69,779415.542,5.150,57.047
9QTZ8Z2Sf6FvV4BCWHEVchnfgdfwKRamRWedt2FB32yK,134,776223.715,5.129,62.176
5upGDtuhC2M4uj2kpUMBhiBmGVv9Lnq8rExj3syrN3yC,74,752546.430,4.973,67.149
GvCrgThgvY5gEcwLi3H5KWL3PFMnepgSCPwxpWVma3iA,1,653595.000,4.319,71.468
9vaQvKNRvSXhmbCueDby7vnKG79ouLWMuWdEwCNnuWfQ,219,614925.000,4.063,75.531
G1TVaxpCJLnYXYBbi5rj2izPKzZJdiUvpFcBPU587oC,146,513483.762,3.393,78.924
2VSKjLTz7NXCAP4rQEe1CLjqpg6EhFjZgrfQZCDWuoTe,69,350911.000,2.319,81.243
6U7nEnJX2R1er1K9BpWcMjFYsuD8FJohAuJWXEhPS87B,112,314026.590,2.075,83.317
CtmL37uYW5kgFjGT8QDxaktcxk8Nyw8ZSADw1KwCBnyt,69,300999.020,1.989,85.306
FjmtW7yVbGf1X8Pqtb863yNeaSoJs4qWgmu28bnBgeZt,73,279665.000,1.848,87.154
GAsb1L6Dg2qbAKYGrfLNFYskHsucmG6FdTjC41WkRH24,105,261813.800,1.730,88.884
BP44vPTWa32W87YSQe4WMnvhG1Uy6wtGvhxAudLf92ms,4,226000.000,1.493,90.378
9eqX9ZL3eFo2bhMeUWBGAJsuneEfpVRcdBdgzqpXSpY3,45,183425.829,1.212,91.590
